State,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel,State.Income,State.FullName
AK,925.9,0.063,0.009,930,6.6,6.5,0.6,"3,439","6,335,034",9.4,13.1,48,0,0,26.2,0.7,2.7,0,0,0,"77,351",Alabama
AL,912.9,0.069,0.01,917.5,0.4,0.4,0.4,"38,354","142,863,240",24,0,40.5,0,27.9,5.2,2.3,0,0,0,0,"48,237",Alaska
AR,"1,115.70",0.105,0.015,"1,122.60",0.9,0.9,1.6,"19,536","60,445,059",39.4,0.1,30.1,0,22.2,6,2.3,0,0,0,0,"46,894",Arizona
AZ,932.2,0.067,0.011,937.1,0.6,0.6,0.2,"40,135","108,734,631",28,0,31.4,0,29.8,6.6,0.2,0.5,3.4,0,0,"58,328",Arkansas
CA,452.5,0.026,0.003,454.1,0.5,0.4,0,"106,793","197,323,837",0.2,0.1,49.2,0.7,9.6,14.5,3.1,6.8,9.8,5.8,0.2,"68,070",California
CO,"1,468.40",0.146,0.021,"1,477.90",1.1,1.1,0.7,"19,873","54,418,480",55,0,23.3,0,0,3,0.3,17.3,1,0,0.1,"72,084",Colorado
CT,498.5,0.061,0.008,502.1,0.3,0.3,0,"11,789","36,496,560",0.5,0.3,49.2,0,45.4,0.6,3.9,0,0.1,0,0,"77,556",Connecticut
DC,481.8,0.023,0.002,483,4.6,4.6,0.1,25,"76,474",0,1.3,29.7,0,0,0,69,0,0,0,0,"72,508",Delaware
DE,887.4,0.033,0.004,889.3,0.4,0.4,0.1,"4,011","8,731,261",5.5,0.7,89.2,3.2,0,0,0.8,0.1,0.6,0,0,"59,294",D.C.
FL,"1,024.20",0.077,0.01,"1,029",0.5,0.6,0.4,"100,751","238,226,428",16.6,1.2,66.5,0,12.3,0.1,2.6,0,0.1,0,0.7,"52,277",Florida
GA,"1,001.80",0.086,0.013,"1,007.40",0.4,0.3,0.4,"51,336","132,902,274",28.5,0.2,39.8,0.1,25.9,1.4,3.4,0,0.7,0,0,"54,678",Georgia
HI,"1,522.10",0.157,0.024,"1,532.90",4.5,4.2,7.5,"3,502","9,948,845",15.1,66.7,0,0.6,0,0.9,5.6,6.4,0.9,2.6,1.1,"73,684",Hawaii
IA,997.9,0.051,0.016,"1,003.90",0.8,0.9,1,"22,304","54,396,531",46.3,0.5,5.4,0,8.6,1.7,0.5,36.9,0,0,0,"60,365",Iowa
ID,188.7,0.008,0.001,189.3,0.3,0.3,0.1,"6,212","15,660,938",0.2,0,21.2,0,0,57.7,3.4,16.5,0.2,0.5,0.4,"57,780",Idaho
IL,811.3,0.048,0.012,816,0.4,0.4,1,"62,748","187,437,381",31.7,0,9.3,0.1,52.6,0.1,0.2,5.7,0,0,0.2,"62,706",Illinois
IN,"1,812.70",0.185,0.027,"1,824.90",1.7,1.7,1.7,"40,933","101,397,209",71.3,0.6,19.7,2.2,0,0.4,0.4,4.8,0.2,0,0.3,"57,300",Indiana
KS,"1,195.60",0.129,0.019,"1,204.10",0.8,0.9,0.3,"19,888","47,599,990",48.5,0.1,4.3,0,17.3,0.1,0.1,29.6,0,0,0,"58,032",Kansas
