State,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2
AK,925.9,0.063,0.009,930.0,6.6,6.5,0.6
AL,912.9,0.069,0.010,917.5,0.4,0.4,0.4
AR,"1,115.7",0.105,0.015,"1,122.6",0.9,0.9,1.6
AZ,932.2,0.067,0.011,937.1,0.6,0.6,0.2
CA,452.5,0.026,0.003,454.1,0.5,0.4,0.0
CO,"1,468.4",0.146,0.021,"1,477.9",1.1,1.1,0.7
CT,498.5,0.061,0.008,502.1,0.3,0.3,0.0
DC,481.8,0.023,0.002,483.0,4.6,4.6,0.1
DE,887.4,0.033,0.004,889.3,0.4,0.4,0.1
FL,"1,024.2",0.077,0.010,"1,029.0",0.5,0.6,0.4
GA,"1,001.8",0.086,0.013,"1,007.4",0.4,0.3,0.4
HI,"1,522.1",0.157,0.024,"1,532.9",4.5,4.2,7.5
IA,997.9,0.051,0.016,"1,003.9",0.8,0.9,1.0
ID,188.7,0.008,0.001,189.3,0.3,0.3,0.1
IL,811.3,0.048,0.012,816.0,0.4,0.4,1.0
IN,"1,812.7",0.185,0.027,"1,824.9",1.7,1.7,1.7
KS,"1,195.6",0.129,0.019,"1,204.1",0.8,0.9,0.3
KY,"1,954.3",0.189,0.032,"1,968.1",1.5,1.4,1.9
LA,878.9,0.049,0.007,882.1,0.8,0.9,0.7
MA,821.3,0.101,0.013,827.5,0.5,0.5,0.2
MD,"1,012.7",0.078,0.017,"1,019.5",0.6,0.7,0.9
ME,337.0,0.164,0.023,347.6,0.6,0.6,0.3
MI,"1,099.9",0.063,0.016,"1,106.0",0.8,0.8,1.5
MN,"1,012.7",0.123,0.018,"1,020.3",0.7,0.7,0.6
MO,"1,687.7",0.122,0.028,"1,699.0",1.5,1.4,2.5
MS,940.7,0.029,0.006,943.0,0.4,0.5,0.2
MT,"1,251.0",0.135,0.020,"1,260.1",1.1,1.1,1.0
NC,867.4,0.080,0.011,872.7,0.6,0.6,0.4
ND,"1,663.8",0.130,0.027,"1,674.8",2.0,1.9,2.4
NE,"1,281.2",0.139,0.021,"1,290.7",1.1,1.1,2.8
NH,310.6,0.101,0.013,316.8,0.2,0.2,0.1
NJ,557.8,0.034,0.004,559.8,0.2,0.3,0.1
NM,"1,572.8",0.150,0.022,"1,582.6",2.4,2.4,0.5
NV,769.9,0.027,0.003,771.5,0.5,0.5,0.2
NY,464.0,0.031,0.004,465.9,0.3,0.4,0.1
OH,"1,466.0",0.125,0.022,"1,475.3",1.0,1.0,1.8
OK,"1,043.7",0.063,0.011,"1,048.3",0.7,0.8,1.3
OR,305.9,0.020,0.003,307.2,0.4,0.4,0.1
PA,855.4,0.052,0.011,860.0,0.8,0.8,1.0
RI,870.8,0.017,0.002,871.7,0.2,0.2,0.0
SC,629.4,0.025,0.009,632.8,0.3,0.3,0.2
SD,513.3,0.049,0.007,516.6,0.2,0.2,0.1
TN,992.3,0.074,0.015,998.4,0.5,0.6,0.8
TX,"1,049.5",0.079,0.011,"1,054.6",0.6,0.6,1.1
UT,"1,627.4",0.166,0.024,"1,638.4",1.8,1.7,0.9
VA,813.8,0.083,0.012,819.0,0.6,0.6,0.3
VT,56.9,0.161,0.021,66.8,0.4,0.5,0.0
WA,186.8,0.010,0.003,187.9,0.1,0.2,0.1
WI,"1,388.9",0.072,0.020,"1,396.5",0.7,0.7,0.5
WV,"1,975.8",0.211,0.033,"1,990.6",1.3,1.3,1.2
WY,"2,026.3",0.223,0.032,"2,041.0",1.6,1.6,1.4
U.S.,998.4,0.080,0.013,"1,004.2",0.7,0.7,0.8
,,,,,,Created:,2/15/2018
